plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
CFBDSIR J145829+101343 b,10037.5,10.5,2.6,,,,,,1,Imaging,2011,224.620833,10.228611,,,23.1,0.02,,580.5,4.72,,2737.5,4.5,0.3,,,,,,2.4,0.01,,24.5,0.28,,-2737.5,-4.5,-0.3,,,,,,2.4,-0.01,,-24.5,-0.28,,,,,3,2,2,,
CHXR 73 b,,12.569,210,,,,,,1,Imaging,2006,166.619893,-77.625877,,,,0.35,,,,,,8.379,,,,,,,,0,,,,,,-5.237,,,,,,,,0,,,,,,,,0.002,,,,
CL Tau b,8.9965,12.31,,,45.7,,,,1,RV,2016,69.68750002,8.096111123,,13,,0.8,,,,,0.0327,2.39,,,1.1,,,,,0.02,,,,,0.0327,2.39,,,1.1,,,,,0.02,,,,,,,,0.002,,,,
CoRoT-1 b,1.5089557,1.03,0.0254,0,85.1,1.49,77,0.420251,1,Transit,2008,102.0798833,-3.102111111,0.16,13.6,460,0.95,1.11,6298,4.25,-0.3,6.40E-06,0.12,0.0004,,0.5,0.08,11,0.036655,100,0.15,0.05,66,0.3,0.25,6.40E-06,0.12,0.0004,,0.5,0.08,11,0.036655,100,0.15,0.05,66,-0.3,-0.25,5.2,1,-1,,,,,
CoRoT-10 b,13.2406,2.75,0.105463,0.53,88.55,0.97,,0.85,1,Transit,2010,291.06375,0.746111111,1.46,15.216,345,0.89,0.79,5075,4.65,0.26,0.0002,0.14,0.00197497,0.04,0.2,0.05,,0.03,50,0.05,0.05,75,0.1,0.07,0.0002,0.14,0.00197497,0.04,0.2,0.05,,-0.03,50,0.05,0.05,75,-0.1,0.07,2,0.5,-0.5,3,,inf,,
CoRoT-11 b,2.99433,2.33,0.04351,0,83.17,1.43,0.1,0.818,1,Transit,2010,280.6872917,5.937694444,0.93,12.8,560,1.27,1.37,6343,4.22,-0.03,1.10E-05,0.27,0.00036,,0.15,0.03,2.6,0.008,30,0.05,0.03,72,0.23,0.08,-1.10E-05,0.27,0.00036,,-0.15,-0.03,2.6,-0.008,30,0.05,-0.03,72,-0.23,-0.08,40,5,-5,2,1,1,,
CoRoT-12 b,2.828042,0.917,0.04016,0.07,85.48,1.44,,0.573,1,Transit,2010,100.765675,-1.296416666,0.828,15.515,1150,1.078,1.116,5675,4.375,0.16,1.30E-05,0.07,0.00092,0.042,0.72,0.13,,0.027,85,0.072,0.092,80,0.065,0.1,-1.30E-05,0.065,0.00092,0.042,-0.77,0.13,,-0.03,85,0.072,0.092,80,0.062,0.1,1,1,-1,6.3,3.1,3.1,,
CoRoT-13 b,4.03519,1.308,0.051069,0,88.02,0.885,,0.374,1,Transit,2010,102.721125,-5.086416667,0.738,15.039,1310,1.09,1.01,5945,4.46,0.01,3.00E-05,0.066,0.00085115,,0.036,0.014,,0.054,100,0.02,0.03,90,0.05,0.07,3.00E-05,0.066,0.00085115,,0.036,0.014,,-0.054,100,0.02,0.03,90,-0.05,0.07,4,1,-1,1.635,1.515,-1.515,,
CoRoT-14 b,1.51214,7.56823,0.0269122,0,79.6,1.09,,0.86,1,Transit,2011,103.4242083,-5.536027778,0.858,16.033,1340,1.13,1.21,6035,4.35,0.05,0.00013,0.453047,0.000714486,,0.8,0.07,,0.02,110,0.09,0.08,100,0.15,0.15,-0.00013,0.453047,0.000714486,,0.8,0.07,,-0.02,110,0.09,0.08,100,-0.15,0.15,9,0.5,-0.5,4.2,3.8,3.8,,
CoRoT-15 b,3.06036,63.3,0.045,0,86.7,1.12,,0.38,1,Transit,2010,97.11666668,6.186241673,,,,,,,,,3.00E-05,4,0.014,,2.3,0.3,,0.26,,,,,,,3.00E-05,4,0.01,,3.2,0.15,,0.26,,,,,,,,,,,,,,
CoRoT-16 b,5.35227,0.535,0.0618,0.33,85.01,1.17,,0.825,1,Transit,2012,278.5246376,-6.002583333,1.05,15.63,840,1.098,1.19,5650,4.36,0.19,0.0002,0.085,0.0015,0.09,0.94,0.14,,0.03,90,0.078,0.14,100,0.1,0.06,0.0002,0.085,0.0015,-0.1,-1.2,0.14,,-0.039,90,0.078,0.14,100,-0.1,0.06,0.5,0.5,0.5,6.73,2.8,2.8,,
CoRoT-17 b,3.768125,2.43,0.0461,0,88.34,1.02,,0.18,1,Transit,2011,278.699225,-6.61225,1.5,15.46,919.997,1.04,1.5121,5740,4.4,0,0.000257,0.16,0.0008,,1.54,0.07,,0.16,49.9996,0.1,0.0494171,80,0.1,0.1,0.000257,0.16,0.0008,,1.54,0.07,,-0.16,49.9998,0.1,0.0494171,80,-0.1,0.1,4.5,0.5,-0.5,10.7,1,1,,
CoRoT-18 b,1.9000693,3.48002,0.0295483,0.04,86.5,1.31,10,0.4,1,Transit,2011,98.1724125,-0.031583334,0.79,15,870,0.95,1,5440,4.4,-0.1,2.80E-06,0.375551,0.00155517,0.04,0.9,0.18,20,0.08,90,0.15,0.13,100,0.1,0.1,2.80E-06,0.375551,0.00155517,0.04,0.9,0.18,20,-0.14,90,0.15,0.13,100,-0.1,0.1,8,1,-1,,,,,
CoRoT-19 b,3.89713,1.11,0.0518,0.047,87.61,1.29,-52,0.24,1,Transit,2012,97.03357917,-0.170694444,0.56,14.007,770.001,1.21,1.65,6090,4.07,-0.02,2.00E-05,0.06,0.0008,0.045,0.37,0.03,27,0.08,65.5021,0.05,0.04,70,0.03,0.1,2.00E-05,0.06,0.0008,0.045,0.37,-0.03,22,-0.08,55.9783,-0.05,0.04,70,-0.03,0.1,6,1,-1,5,1,1,,
CoRoT-2 b,1.7429935,3.31,0.0280884,0.0143,87.84,1.465,7.2,0.221,1,Transit,2008,291.7770666,1.383694444,0.854,12.57,300,0.97,0.902,5575,,-0.04,1.00E-06,0.16,0.000579142,0.0077,0.1,0.029,4.5,0.017,100,0.06,0.018,66,,0.08,-1.00E-06,0.16,0.000579142,-0.0076,0.1,0.029,4.5,-0.019,100,0.06,0.018,66,,0.08,10.87,0.32,-0.32,2.7,3.2,-2.7,,
CoRoT-20 b,9.24285,4.24157,0.0902,0.562,88.21,0.84,,0.26,1,Transit,2012,97.72041668,0.226888889,0.65,15.31,1230,1.14,1.02,5880,4.2,0.14,0,0.220224,0.0021,0.013,0.53,0.04,,0.08,120,0.08,0.05,90,0.15,0.12,0,0.220224,0.0021,0.013,0.53,0.04,,-0.08,120,0.08,-0.05,90,-0.15,0.12,4.5,1,-1,0.1,0.04,0.04,,
CoRoT-21 b,2.72474,2.26,0.0417,0,86.8,1.3,,,1,Transit,2011,101.05245,-0.29913,,16,,1.29,1.945,6200,,0,0.00014,0.31,0.0011,,2.1,0.14,,,,0.09,0.21,100,,0.1,0.00014,0.31,0.0011,,2.1,0.14,,,,0.09,0.21,100,,0.1,,,,4.1,0.5,0.5,,
CoRoT-22 b,9.75598,0.0413051,0.092,0.077,89.749,0.445,,0.012,1,Transit,2014,280.6671209,6.218888889,0.796,13.94,592,1.099,1.136,5939,4.361,0.17,0.00011,0.043563,0.0014,0.3,0.032,0.015,,0.33,25,0.049,0.038,54,0.065,0.07,0.00011,0.043563,0.0014,0.042,0.9,0.037,,-0.033,42,0.049,0.09,120,0.029,0.12,4,1.5,-1.5,3.3,2,2,,
CoRoT-23 b,3.6314,2.8,0.0483417,0.16,85.7,1.08,,0.56,1,Transit,2012,279.7826667,4.357777778,1.33,16.96,600,1.14,1.61,5900,4.3,0.05,0.0001,0.25,0.0011308,0.017,1.5,0.13,,0.1,50,0.08,0.18,100,0.2,0.1,0.0001,0.25,0.0011308,0.017,1.5,0.13,,-0.23,50,0.08,0.18,100,-0.2,0.1,9,1,-1,7.2,1,1,1.5,
CoRoT-24 b,5.1134,0.018,0.056,0,86.5,0.33,,0.65,2,Transit,2014,101.922547,-3.719301,,,600,0.91,0.86,4950,4.55,0.3,0.0006,,0.002,,2,0.04,,0.3,70,0.09,0.09,150,0.15,0.15,0.0006,inf,-0.002,,2,0.04,,-0.3,70,0.09,0.09,150,-0.15,-0.15,2,1,-1.5,11,,,,
CoRoT-24 c,11.759,0.088,0.098,0,89,0.44,,0.3,2,Transit,2014,101.922547,-3.719301,,,600,0.91,0.86,4950,4.55,0.3,0.0063,0.035,0.003,,1,0.04,,0.4,70,0.09,0.09,150,0.15,0.15,0.0063,0.035,0.003,,-1.6,0.04,,-0.4,70,0.09,0.09,150,-0.15,-0.15,2,1,-1.5,11,,,,
CoRoT-25 b,4.86069,0.27,0.0577982,0,84.5,1.08,,0.94,1,Transit,2013,279.7505126,6.969777778,0.841,14.965,1000,1.09,1.19,6040,4.31,-0.01,6.00E-05,0.04,0.00141402,,0.3,0.3,,0.03,25,0.11,0.14,90,0.05,0.13,6.00E-05,0.04,0.00141402,,0.8,0.1,,0.03,85,0.05,0.03,90,-0.08,0.13,4.3,0.5,-0.5,5.2,1.3,1.3,,
CoRoT-26 b,4.20474,0.52,0.052477,0,86.8,1.26,,0.33,1,Transit,2013,279.7505126,6.969777778,1.083,15.756,1670,1.09,1.79,5590,3.99,0.01,5.00E-05,0.05,0.00096288,,2.2,0.13,,0.08,110,0.06,0.18,100,0.05,0.13,5.00E-05,0.05,0.00096288,,1,0.07,,-0.23,205,0.06,0.09,100,-0.08,0.13,2,1,-1,8.6,0.9,1.8,,
CoRoT-27 b,3.57532,10.39,0.0466557,0.065,86.7,1.007,,0.54,1,Transit,2014,278.4958334,5.538473056,0.962,15.54,,1.05,1.08,5900,4.4,-0.1,6.00E-05,0.55,0.00162925,0,1.035,0.044,,0.09,,0.11,0.18,120,0.1,0.1,-6.00E-05,0.55,0.00162925,0.065,1.035,0.044,,-0.17,,0.11,0.06,120,-0.1,-0.1,4,1,-1,4.21,2.72,2.72,,
CoRoT-28 b,5.20851,0.483851,0.059,0.047,88.1,0.955,,0.24,1,Transit,2015,278.688375,5.573811111,1.219,13.775,560,1.01,1.78,5150,3.94,0.15,0.00038,0.0613791,0.0027,0.055,0.8,0.066,,0.09,70,0.14,0.11,100,0.12,0.1,0.00038,0.0613791,0.0027,0.038,-0.8,0.066,,0.09,70,0.14,0.11,100,0.12,0.1,3,0.5,-0.5,12,1.5,1.5,,
CoRoT-29 b,2.85057,0.852133,0.0389589,0.082,87.3,0.9,,0.43,1,Transit,2015,278.9020833,6.479719445,1.144,15.56,765,0.976,0.9,5260,4.3,0.2,6.00E-06,0.142076,0.00187431,0.081,2.7,0.16,,0.44,50,0.14,0.12,100,0.2,0.1,6.00E-06,0.142076,0.00187431,-0.081,2.7,0.16,,0.44,50,0.14,0.12,100,-0.2,0.1,3.5,0.5,-0.5,4.5,3.5,3.5,,
CoRoT-3 b,4.2568,21.799,0.0573788,0,85.9,1.01,-37.6,0.55,1,Transit,2008,292.0552709,0.121833333,0.907,13.292,680,1.41,1.44,6558,4.23,-0.02,5.00E-06,0.991675,0.00125647,,0.8,0.07,22.3,0.08,160,0.08,0.08,44,0.06,0.06,-5.00E-06,0.991675,0.00125647,,0.8,0.07,10,-0.08,160,0.08,0.08,44,0.06,0.06,17,1,-1,2,0.4,0.4,,
CoRoT-33 b,5.819143,59,0.0579,0.07,85.5,1.1,,1.04,1,Transit,2015,279.6416667,5.624722241,,14.7,,0.86,0.94,5225,,0.44,1.80E-05,1.8,,0.0016,0.5,0.53,,0.06,,0.004,0.14,80,,0.1,1.80E-05,1.8,,0.0016,0.5,0.53,,0.06,,0.004,0.008,80,,0.1,,,,4.6,5,0,,
CoRoT-4 b,9.20205,0.717419,0.09,0,90,1.19,,0,1,Transit,2008,102.1946458,-0.67275,,13.7,,1.1,1.17,6190,4.41,0.05,0.00037,0.0723897,0.001,0.1,0,0.05,,0.0258,,0.02,0.01,60,0.05,0,0.00037,0.0723897,0.001,-0.1,-0.085,0.05,,0,,0.02,-0.03,60,-0.05,0,6.4,1,-1,1,0.3,0.3,,
CoRoT-5 b,4.0378962,0.461312,0.04947,0.09,85.83,1.388,,0.755,1,Transit,2009,101.2772542,0.815222222,0.67,14,400,1,1.19,6100,4.19,-0.2,1.90E-06,0.0395129,0.00026,0.04,0.99,0.046,,0.017,0,0.02,0.04,65,0.03,0.06,1.90E-06,0.0395129,-0.00029,0.04,-1.38,-0.047,,-0.022,0,0.02,-0.04,65,-0.03,0.06,1,1,-1,6.9,1.4,1.4,,
CoRoT-6 b,8.886593,2.95325,0.0854177,0,89.07,1.166,,0.291,1,Transit,2010,281.072525,6.663194444,0.726,13.912,,1.05,1.025,6090,4.44,-0.2,4.00E-06,0.331379,0.00142363,0.1,0.3,0.035,,0.091,,0.05,0.026,50,0.023,0.1,4.00E-06,0.331379,0.00142363,0,0.3,0.035,,0.091,,-0.05,0.026,50,0.023,0.1,7.6,1,-1,,,,,
CoRoT-7 b,0.85359163,0.023345814,0.017016,0,80.1,0.141,,0.713,2,Transit,2009,100.956125,-1.063027778,0.856,11.668,149.925,0.91,0.82,5259,4.57,0.138,6.00E-09,0.003807067,0.00017,,0.3,0.006,,0.017,19.9696,0.02,0.02,58,0.01,0.061,6.00E-09,0.003807067,-3.60E-05,,0.3,-0.006,,-0.026,15.7688,-0.02,-0.02,-58,-0.01,-0.061,3.5,3.5,3.5,1.5,0.3,0.3,,
CoRoT-7 c,3.698,0.0264,0.046,0,80,,,,2,RV,2009,100.956125,-1.063033,,11.668,150,0.91,0.82,5259,4.57,0.138,0.003,0.0028,,,,,,,20,0.02,0.02,58,0.01,0.061,0.003,0.0028,,,,,,,20,-0.02,-0.02,-58,-0.01,-0.061,3.5,,,1.5,0.3,0.3,,
CoRoT-8 b,6.21229,0.22,0.063,0,88.4,0.569186492,,0.49,1,Transit,2010,291.5885,1.426444445,1.3,14.8,380.228,0.88,0.77,5080,4.58,0.315,3.00E-05,0.03,0.001,,0.1,0.01962712,,0.04,32.995,0.04,0.02,80,0.08,0.05,3.00E-05,-0.03,0.001,,0.1,0.01962712,,-0.04,28.1154,0.04,0.02,80,-0.08,0.05,2,1,-1,3,,inf,,
CoRoT-9 b,95.273804,0.84,0.407,0.11,89.99,1.05,,0.01,1,Transit,2010,280.7867084,6.204138889,0.86,13.69,459.982,0.99,0.94,5625,4.54,-0.01,0.0014,0.07,0.005,0.04,0.01,0.04,,0.06,196.617,0.04,0.04,80,0.09,0.06,0.0014,0.07,0.005,0.04,-0.04,-0.04,,-0.01,105.999,0.04,0.04,80,-0.09,-0.06,0,3.5,3.5,4,3,3,,
CT Cha b,,17,440,,,2.2,,,1,Imaging,2007,166.037877,-76.455383,,12.36,165,,,,,,,6,,,,0.6,,,30,,,,,,,6,,,,0.6,,,30,,,,,,,,,0.002,0.002,0.002,,
CVSO 30 b ,0.448413,5.5,0.00838,,61.8,1.91,,,2,Transit,2012,81.2833333,1.5733333,,16.26,330,0.39,1.39,3740,,,4.00E-05,1.4,0.00072,,3.7,0.21,,,0,0.05,,,,,4.00E-05,1.4,0.00072,,3.7,0.21,,,0,0.05,,,,,,,,0.00265,3.00E-05,3.00E-05,,
CVSO 30 c,,4.7,662,,,1.63,,,2,Imaging,2016,81.2833333,1.5733333,,16.26,330,0.39,1.39,3740,,,,3.6,96,,,0.87,,,0,0.05,,,,,,2,96,,,0.34,,,0,0.05,,,,,,,,0.00265,3.00E-05,3.00E-05,,
DE0823-49 b,247.75,31.5,0.36,0.36,52.2,,,,1,Imaging,2013,125.7625,-48.79972222,,,20.69,0.045,,2150,,,0.64,13,0.01,0.04,1.5,,,,0.06,0.017,,100,,,0.64,13,0.01,0.04,1.5,,,,0.06,0.017,,100,,,,,,0.1,0.5,0.02,,
DENIS-P J082303.1-491201 b,246.36,28.5,0.36,0.345,56.6,,,,1,Astrometry,2013,125.76305,-49.200359,,,,0.07,,,,,1.38,1.9,0.01,0.068,1.9,,,,,0.01,,,,,-1.35,-1.9,-0.01,-0.064,-2.1,,,,,-0.01,,,,,,,,1,,,,
DH Tau b,,11,330,,,,,,1,Imaging,2004,67.423158,26.54952,,13.71,,0.37,0.27,,,,,0.01,,,,,,,,0.12,0.07,,,,,0.003,,,,,,,,0.12,-0.07,,,,,,,0.001,0.0009,0.0009,,
DP Leo b,10230,6.05,8.19,0.39,,,,,1,Eclipse Timing Variations,2009,169.316667,17.961417,,17.5,,0.69,,,,,730,0.47,0.39,0.13,,,,,,,,,,,730,0.47,0.39,0.13,,,,,,,,,,,,,,,,,,
DW Lyn b,,5.58,1148,,,,,,1,RV,2013,106.7908625,60.64725836,,,,,,,,,,1.44,0.05,,,,,,,,,,,,,1.44,0.05,,,,,,,,,,,,,,,,,,,
DW Uma b,4967,10.06,5.8,,,,,,1,Other,2016,158.4708334,58.78194447,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 211351816 b,8.4061,1.1,,,,1.31,,0.933,1,Transit,2016,127.762836,10.847586,1.159,12.611,,1.16,4.2,4790,3.26,0.42,0.0015,0.11,,,,0.11,,0.006,,0.12,0.14,90,0.01,0.08,0.0015,0.11,,,,0.11,,-0.007,,0.12,0.14,-90,-0.01,0.08,2.8,1.6,-1.6,7.8,2,2,,
EPIC 211391664 b,10.13675,0.101,0.0943,0,89,0.384,,0.27,1,Transit,2016,126.488289,11.511145,0.48,12.166,435,1.07,1.31,6120,4.23,-0.2,0.00033,0.025,0.0061,,0.5,0.027,,0.17,30,0.04,0.08,80,0.03,0.1,0.00033,0.025,0.0052,,0.7,-0.018,,0.14,15,-0.04,-0.05,80,-0.05,0.1,6.1,0.5,-0.5,5.2,1.2,1,,
EPIC 211822797 b,21.169619,,,0.18,89.5,0.2,,0.38,1,Transit,2016,130.410365,17.640005,1.452,15.256,,0.61,0.59,3880,,0.14,0.001665,,,0.27,0.3,0.018,,0.33,,0.02,0.03,67,,0.04,0.001729,,,0.15,0.4,0.0089,,-0.26,,0.02,0.03,67,,-0.04,,,,0.79,0.03,-0.03,,
EPIC 211913977 b,14.677286,,,0.1,89.4,0.18,,0.35,1,Transit,2016,130.344085,18.933875,1.013,12.957,,0.8,0.73,4819,,0.14,0.000828,,,0.18,0.4,0.0089,,0.25,,0.06,0.03,45,,0.04,-0.000804,,,0.08,0.5,0.0089,,-0.23,,0.06,0.03,45,,-0.04,,,,0.79,0.03,-0.03,,
EPIC 211969807 b,1.97419,,,0.18,88,0.17,,0.37,1,Transit,2016,129.636756,19.773829,,,,0.51,0.48,3660,,0.14,0.00011,,,0.29,1.4,0.0089,,0.33,,0.02,0.02,67,,0.04,0.00011,,,0.14,1.9,0.018,,-0.25,,-0.02,0.02,67,,-0.04,,,,0.79,0.03,-0.03,,
EPIC 211970147 b,9.915615,,,0.1,89,0.12,,0.43,1,Transit,2016,130.056046,19.77881,1.118,13.2,,0.77,0.71,4695,,0.14,0.001209,,,0.16,0.6,0.0089,,0.24,,0.06,0.03,50,,0.04,-0.001195,,,0.07,0.6,0.0089,,-0.27,,0.06,0.03,50,,-0.04,,,,0.79,0.03,-0.03,,
EPIC 211990866 b,1.673916,,,0.24,85.1,0.312,,0.43,1,Transit,2016,129.60125,20.106063,0.582,10.651,,1.18,1.19,6120,,0.14,1.20E-05,,,0.19,3.3,0.018,,0.29,,0.09,0.05,90,,0.04,1.30E-05,,,0.12,3.1,-0.018,,-0.3,,0.09,0.05,90,,-0.04,,,,0.79,0.03,-0.03,,
EPIC 218916923 b,28.38229,0.381,0.1811,0,89.55,0.812,,0.352,1,Transit,2017,289.0666667,-17.91055558,,11.7,152,0.918,0.86,5287,,0.21,0.00027,0.045,0.0085,,0.13,0.03,,0.083,10,0.028,0.031,60,,0.05,0.00027,0.045,0.0085,,0.13,0.03,,0.097,10,0.028,0.031,60,,0.05,,,,1.8,0.3,0.3,,
EPIC 219388192 b,5.292569,36.5,0.0593,0.1929,90,0.937,,0,1,Transit,2016,289.3916667,-16.87166669,,12.5,300,0.99,1.01,5850,,0.03,2.60E-05,0.09,0.0029,0.0019,0,0.042,,15,24,0.05,0.04,85,,0.08,2.60E-05,0.09,0.0029,0.0019,0.7,0.042,,0,24,0.05,0.04,85,,0.08,,,,3.9,1.9,1.9,,
EPIC 220504338 b,5.817712,1.28,0.0575,0,86.44,0.91,,,1,Transit,2016,19.45000002,6.702222238,,13.68,553.4,1.007,1.047,5627,,0.18,4.00E-05,0.12,0.0074,,0.54,0.1,,,59,0.049,0.11,88,,0.062,4.00E-05,0.12,0.0057,,0.042,0.07,,,43,0.039,0.08,88,,0.062,,,,5.9,2.7,3.4,,
EPIC 220674823 b,0.571308,,0.011,0,80.2,0.13,,,2,Transit,2016,13.07978,10.794699,0.475,12.102,253,0.93,0.83,5814,4.56,-0.28,3.00E-05,,,,7,0.012,,,50,0.01,0.04,18,0.09,0.25,3.00E-05,,,,10.7,0.012,,,-50,0.01,0.04,18,-0.09,0.25,2.62,0.18,-0.18,5,,,,
EPIC 220674823 c,13.341245,,0.064,0,87.2,0.226,,,2,Transit,2016,13.07978,10.794699,0.475,12.102,253,0.93,0.83,5814,4.56,-0.28,0.0001,,,,0.5,0.012,,,50,0.01,0.04,18,0.09,0.25,0.0001,,,,13.7,0.012,,,-50,0.01,0.04,18,-0.09,0.25,2.62,0.18,-0.18,5,,,,
epsilon CrB b,417.9,6.7,1.23696,0.11,,,,,1,RV,2012,239.3970834,26.878025,1.23,4.13,67.8887,1.7,29.1175,4406,1.94,-0.22,0.5,0.3,0.0515494,0.03,,,,,0.981862,0.1,0.931759,15,0.08,0.03,0.5,0.3,0.0515494,0.03,,,,,0.954262,0.1,0.931759,15,-0.08,0.03,2.4,,,1.74,0.37,0.37,,
epsilon Eri b,2502,1.55,3.37558,0.702,30.1,,,,1,RV,2000,53.23508333,-9.458305555,0.881,3.72,3.21605,0.83,0.74,5145.75,4.57418,-0.0308963,10,0.24,0.322438,0.039,3.8,,,,0.00165582,0.05,0.01,44,0.06,0.03,10,0.24,0.322438,0.039,3.8,,,,0.0016539,0.05,0.01,44,0.06,0.03,2.44999,0.5,0.5,0.8,,,0.447239,-4.50601
epsilon Ret b,415.2,1.37669,1.19471,0.06,,,,,1,RV,2001,64.12116666,-59.30175,1.078,4.44,18.2382,1.24,3.51559,4846,3.78,0.42,0.5,0.0952637,0.0321811,0.043,,,,,0.0500317,0.1,0.113543,44,0.06,0.03,0.5,0.0952637,0.0321811,-0.043,,,,,0.0497589,0.1,0.113543,-44,-0.06,-0.03,2.80114,0.5,0.5,7.15,,,0.15,-5.29
epsilon Tau b,594.90002,7.6,1.93,0.151,,,,,1,RV,2007,67.153875,19.18052222,1.014,3.53,44.964,2.73,12.752,4901,2.62,0.17,5.3,0.2,0.03,0.023,,,,,0.511189,0.1,0.408076,20,0.15,0.04,5.3,-0.2,-0.03,0.023,,,,,0.499821,0.1,0.408076,20,0.15,0.04,2.5,,,0.625,0.05,0.05,,
eta Cet b,403.5,2.55,1.28444,0.155,,,,,2,RV,2014,17.14691666,-10.18192778,1.161,3.45,38,1.7,14.3,4528,2.36,0.12,1.5,0.13,0.0258025,0.05,,,,,0.2,0.1,0.2,19,0.05,0.08,1.5,0.13,0.0258025,0.05,,,,,0.2,0.1,0.2,19,0.05,0.08,3.8,0.6,0.6,,,,,
eta Cet c,744.5,3.32,1.91985,0.1,,,,,2,RV,2014,17.14691666,-10.18192778,1.161,3.45,38,1.7,14.3,4528,2.36,0.12,3.71,0.18,0.0381805,0.06,,,,,0.2,0.1,0.2,19,0.05,0.08,3.71,0.18,0.0381805,0.06,,,,,0.2,0.1,0.2,19,0.05,0.08,3.8,0.6,0.6,,,,,
Fomalhaut b,555530,3,160,0.11,55,,,,1,Imaging,2008,344.4117917,-29.62183611,0.09,1.16,7.704,1.92,1.842,8590,,,184690,0,33,0,26,,,,0.028,0.02,0.019,73,,,-353320,3,-79,0,-12,,,,0.028,0.02,0.019,73,,,3.9,,,0.44,0.04,0.04,,
FU Tau b,,16,800,,,,,,1,Imaging,2008,65.898908,25.049898,,,140,0.05,,2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,
FW Tau b,,10,330,,,,,,1,Imaging,2013,67.37500001,26.28138891,,15.5,145,0.26,,3270,,,,4,30,,,,,,15,0.18,,70,,,,4,30,,,,,,15,0.18,,70,,,,,,0.0018,0.0005,0.001,,
gamma Cep b,903.3,1.85,2.05,0.12,9.6,,,,1,RV,1988,354.8374167,77.63196667,1.031,3.21,14.1024,1.4,5.01,4800,3.1,0.13,1.5,0.06,0.06,0.05,5.9,,,,0.0800028,0.12,0.05,100,0.27,0.06,1.5,0.06,0.06,0.05,5.9,,,,0.0791054,0.12,0.05,100,0.27,0.06,1.5,1,,6.6,,,0.124,
gamma Leo A b,428.5,10.3722,1.19,0.144,172.1,,,,1,RV,2010,154.9923333,19.84186111,1.08,2.12,39.8883,1.57,27.4346,4330,1.97,-0.51,1.25,0.824238,0.02,0.046,3.8,,,,0.844887,0.18,0.877909,15,0.17,0.05,1.25,0.824238,0.02,0.046,98.6,,,,0.810547,0.18,0.877909,15,0.17,0.05,2.7,,,,,,,
GJ 1132 b,1.62893,0.0051,0.0154,0,,0.103,,0.38,1,Transit,2015,153.715737,-47.156727,1.68,13.49,12.04,0.181,0.207,3270,,-0.12,3.10E-05,0.0017,0.0015,,,0.0098,,0.14,0.24,0.019,0.016,140,,0.15,3.10E-05,0.0017,0.0015,,,0.0098,,0.14,0.24,0.019,0.016,140,,0.15,2,,,5,10,0,,
GJ 1214 b,1.58040456,0.0197,0.01411,0,90,0.2389,,0,1,Transit,2009,258.8289167,4.963805556,1.73,15.1,12.9534,0.16,0.211,3170,5.12,0.39,1.60E-07,0.0027,0.00032,0,0,0.01159,,,0.974209,0.01,0.0097,23,0.01,0.15,-1.60E-07,-0.0027,0.00032,0.27,1.5,0.01159,,,0.846831,-0.01,0.0097,-23,-0.01,0.15,2,2,2,6,3,3,,
GJ 15 A b,11.4433,0.017,0.0717,0,,,,,1,RV,2014,4.58558334,44.02195556,1.55,8.08,3.56,0.375,0.39,3567,4.9,-0.32,0.0016,0.002,0.0034,,,,,,0,0.057,0,11,0.17,0.17,0.0016,-0.002,0.0034,,,,,,0,0.057,0,11,-0.17,0.17,1.45,0.6,-0.6,,,,0.527,
GJ 160.2 b,5.2354,0.032092628,0.053,0.06,,,,,1,RV,2014,61.64517234,-19.14687801,,9.675,,0.69,,4347,,,0.0027,0.022646996,0.004,0.2,,,,,,,,,,,0.0065,0.018557955,0.007,0.06,,,,,,,,,,,,,,,,,,
GJ 163 b,8.631,0.03335,0.0607,0.11,,,,,3,RV,2013,62.31104166,-53.37511389,1.491,11.811,15.12,0.4,,3500,,0.1,0.001,0.00189,1.00E-05,0.04,,,,,0.15,0.02,,100,,0.1,0.001,-0.00189,-1.00E-05,0.04,,,,,-0.14,-0.02,,-100,,-0.1,,,,6,4,-4,,
GJ 163 c,25.645,0.02285,0.1254,0.099,,,,,3,RV,2013,62.31104166,-53.37511389,1.491,11.811,15.12,0.4,,3500,,0.1,0.0235,0.0028,0.0001,0.086,,,,,0.15,0.02,,100,,0.1,0.0235,0.0028,0.0001,-0.086,,,,,-0.14,-0.02,,-100,,-0.1,,,,6,4,-4,,
